old_label,label,date
hCoV-19/Israel/ISR_JP0320/2020|EPI_ISL_419211|2020-02-23|1,hCoV-19/Israel/ISR_JP0320/2020|EPI_ISL_419211|2020-02-23|1,2020-02-23
hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532|2020-01-23|55,hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532|2020-01-23|55,2020-01-23
hCoV-19/SouthKorea/KCDC12/2020|EPI_ISL_412872|2020-02-01|5,hCoV-19/SouthKorea/KCDC12/2020|EPI_ISL_412872|2020-02-01|5,2020-02-01
hCoV-19/SouthAfrica/R02827/2020|EPI_ISL_430297|2020-03-06|1,hCoV-19/SouthAfrica/R02827/2020|EPI_ISL_430297|2020-03-06|1,2020-03-06
hCoV-19/Sweden/20-50125/2020|EPI_ISL_429140|2020-03-06|1,hCoV-19/Sweden/20-50125/2020|EPI_ISL_429140|2020-03-06|1,2020-03-06
hCoV-19/England/200690300/2020|EPI_ISL_414042|2020-02-08|1,hCoV-19/England/200690300/2020|EPI_ISL_414042|2020-02-08|1,2020-02-08
hCoV-19/Guangdong/20SF273/2020|EPI_ISL_428460|2020-01-23|1,hCoV-19/Guangdong/20SF273/2020|EPI_ISL_428460|2020-01-23|1,2020-01-23
hCoV-19/Wuhan/HB-WH5-220/2020|EPI_ISL_454965|2020-02-20|1,hCoV-19/Wuhan/HB-WH5-220/2020|EPI_ISL_454965|2020-02-20|1,2020-02-20
hCoV-19/Japan/DP0158/2020|EPI_ISL_416579|2020-02-15|1,hCoV-19/Japan/DP0158/2020|EPI_ISL_416579|2020-02-15|1,2020-02-15
hCoV-19/Japan/PG-0141/2020|EPI_ISL_479864|2020-02-23|1,hCoV-19/Japan/PG-0141/2020|EPI_ISL_479864|2020-02-23|1,2020-02-23
hCoV-19/England/BRIS-130CD5/2020|EPI_ISL_492676|2020-03-23|1,hCoV-19/England/BRIS-130CD5/2020|EPI_ISL_492676|2020-03-23|1,2020-03-23
hCoV-19/Nepal/61/2020|EPI_ISL_410301|2020-01-13|1,hCoV-19/Nepal/61/2020|EPI_ISL_410301|2020-01-13|1,2020-01-13
hCoV-19/Chile/LI-ISPCH-2/2020|EPI_ISL_445274|2020-03-15|2,hCoV-19/Chile/LI-ISPCH-2/2020|EPI_ISL_445274|2020-03-15|2,2020-03-15
hCoV-19/England/LIVE-A586F/2020|EPI_ISL_499461|2020-03-19|2,hCoV-19/England/LIVE-A586F/2020|EPI_ISL_499461|2020-03-19|2,2020-03-19
hCoV-19/Australia/SAP097/2020|EPI_ISL_468039|2020-02-22|1,hCoV-19/Australia/SAP097/2020|EPI_ISL_468039|2020-02-22|1,2020-02-22
hCoV-19/Wuhan/HB-WH1-141/2020|EPI_ISL_454917|2020-03-03|1,hCoV-19/Wuhan/HB-WH1-141/2020|EPI_ISL_454917|2020-03-03|1,2020-03-03
hCoV-19/Hangzhou/ZJU-07/2020|EPI_ISL_416425|2020-02-03|1,hCoV-19/Hangzhou/ZJU-07/2020|EPI_ISL_416425|2020-02-03|1,2020-02-03
hCoV-19/England/20116025603/2020|EPI_ISL_418670|2020-03-11|1,hCoV-19/England/20116025603/2020|EPI_ISL_418670|2020-03-11|1,2020-03-11
hCoV-19/Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24|1,hCoV-19/Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24|1,2019-12-24
hCoV-19/Japan/DP0287/2020|EPI_ISL_416589|2020-02-16|1,hCoV-19/Japan/DP0287/2020|EPI_ISL_416589|2020-02-16|1,2020-02-16
hCoV-19/Wuhan/HB-WH6-243/2020|EPI_ISL_455396|2020-03-20|1,hCoV-19/Wuhan/HB-WH6-243/2020|EPI_ISL_455396|2020-03-20|1,2020-03-20
hCoV-19/England/BRIS-12B55A/2020|EPI_ISL_487569|2020-05-22|1,hCoV-19/England/BRIS-12B55A/2020|EPI_ISL_487569|2020-05-22|1,2020-05-22
hCoV-19/Shanghai/SH0007/2020|EPI_ISL_416320|2020-01-28|1,hCoV-19/Shanghai/SH0007/2020|EPI_ISL_416320|2020-01-28|1,2020-01-28
hCoV-19/USA/CA-CZB-1291/2020|EPI_ISL_468347|2020-04-25|1,hCoV-19/USA/CA-CZB-1291/2020|EPI_ISL_468347|2020-04-25|1,2020-04-25
hCoV-19/India/WB-IICB-034/2020|EPI_ISL_661307|2020-10-29|1,hCoV-19/India/WB-IICB-034/2020|EPI_ISL_661307|2020-10-29|1,2020-10-29
hCoV-19/England/201061000/2020|EPI_ISL_464403|2020-03-04|1,hCoV-19/England/201061000/2020|EPI_ISL_464403|2020-03-04|1,2020-03-04
hCoV-19/Beijing/DT-BJ04/2020|EPI_ISL_452364|2020-02-05|1,hCoV-19/Beijing/DT-BJ04/2020|EPI_ISL_452364|2020-02-05|1,2020-02-05
hCoV-19/Xinyu/JX124/2020|EPI_ISL_421260|2020-01-26|3,hCoV-19/Xinyu/JX124/2020|EPI_ISL_421260|2020-01-26|3,2020-01-26
hCoV-19/Beijing/DT-WH02/2020|EPI_ISL_452357|2020-02-04|1,hCoV-19/Beijing/DT-WH02/2020|EPI_ISL_452357|2020-02-04|1,2020-02-04
hCoV-19/Beijing/DT-travelUK04/2020|EPI_ISL_452336|2020-03-20|1,hCoV-19/Beijing/DT-travelUK04/2020|EPI_ISL_452336|2020-03-20|1,2020-03-20
hCoV-19/England/20109023404/2020|EPI_ISL_464546|2020-03-07|1,hCoV-19/England/20109023404/2020|EPI_ISL_464546|2020-03-07|1,2020-03-07
hCoV-19/Bahrein/BAH-01/2020|EPI_ISL_483542|2020-03-11|1,hCoV-19/Bahrein/BAH-01/2020|EPI_ISL_483542|2020-03-11|1,2020-03-11
hCoV-19/USA/WY-WYPHL-00044/2020|EPI_ISL_462936|2020-03-25|1,hCoV-19/USA/WY-WYPHL-00044/2020|EPI_ISL_462936|2020-03-25|1,2020-03-25
hCoV-19/USA/WY-WYPHL-00025/2020|EPI_ISL_462918|2020-03-24|1,hCoV-19/USA/WY-WYPHL-00025/2020|EPI_ISL_462918|2020-03-24|1,2020-03-24
hCoV-19/USA/WY-WYPHL-00091/2020|EPI_ISL_462982|2020-03-30|1,hCoV-19/USA/WY-WYPHL-00091/2020|EPI_ISL_462982|2020-03-30|1,2020-03-30
hCoV-19/Australia/ACT0001/2020|EPI_ISL_498468|2020-03-12|1,hCoV-19/Australia/ACT0001/2020|EPI_ISL_498468|2020-03-12|1,2020-03-12
hCoV-19/USA/WY-WYPHL-00034/2020|EPI_ISL_462927|2020-03-24|1,hCoV-19/USA/WY-WYPHL-00034/2020|EPI_ISL_462927|2020-03-24|1,2020-03-24
hCoV-19/USA/WY-WYPHL-00037/2020|EPI_ISL_462929|2020-03-25|1,hCoV-19/USA/WY-WYPHL-00037/2020|EPI_ISL_462929|2020-03-25|1,2020-03-25
hCoV-19/Australia/ACT0026/2020|EPI_ISL_498493|2020-03-23|1,hCoV-19/Australia/ACT0026/2020|EPI_ISL_498493|2020-03-23|1,2020-03-23
hCoV-19/Australia/NSW333/2020|EPI_ISL_451595|2020-03-23|1,hCoV-19/Australia/NSW333/2020|EPI_ISL_451595|2020-03-23|1,2020-03-23
hCoV-19/USA/AZ-TG666122/2020|EPI_ISL_696208|2020-03-26|1,hCoV-19/USA/AZ-TG666122/2020|EPI_ISL_696208|2020-03-26|1,2020-03-26
hCoV-19/USA/CA-QDX-1421/2020|EPI_ISL_572073|2020-03-18|1,hCoV-19/USA/CA-QDX-1421/2020|EPI_ISL_572073|2020-03-18|1,2020-03-18
hCoV-19/Australia/VIC34/2020|EPI_ISL_419753|2020-03-10|5,hCoV-19/Australia/VIC34/2020|EPI_ISL_419753|2020-03-10|5,2020-03-10
hCoV-19/USA/CA-QDX-2074/2020|EPI_ISL_604393|2020-03-14|20,hCoV-19/USA/CA-QDX-2074/2020|EPI_ISL_604393|2020-03-14|20,2020-03-14
hCoV-19/USA/PA-MGEL-00158/2020|EPI_ISL_681948|2020-04-08|2,hCoV-19/USA/PA-MGEL-00158/2020|EPI_ISL_681948|2020-04-08|2,2020-04-08
hCoV-19/Australia/SAP115/2020|EPI_ISL_451132|2020-03-17|1,hCoV-19/Australia/SAP115/2020|EPI_ISL_451132|2020-03-17|1,2020-03-17
hCoV-19/USA/CA-QDX-1713/2020|EPI_ISL_604018|2020-03-15|1,hCoV-19/USA/CA-QDX-1713/2020|EPI_ISL_604018|2020-03-15|1,2020-03-15
hCoV-19/Canada/MB-NML-876/2020|EPI_ISL_582352|2020-03-19|1,hCoV-19/Canada/MB-NML-876/2020|EPI_ISL_582352|2020-03-19|1,2020-03-19
hCoV-19/USA/WY-WYPHL-20006826/2020|EPI_ISL_493061|2020-03-30|1,hCoV-19/USA/WY-WYPHL-20006826/2020|EPI_ISL_493061|2020-03-30|1,2020-03-30
hCoV-19/UnitedArabEmirates/L0184/2020|EPI_ISL_435121|2020-02-25|1,hCoV-19/UnitedArabEmirates/L0184/2020|EPI_ISL_435121|2020-02-25|1,2020-02-25
hCoV-19/Germany/DE-BW-ChVir1902/2020|EPI_ISL_729484|2020-03-05|1,hCoV-19/Germany/DE-BW-ChVir1902/2020|EPI_ISL_729484|2020-03-05|1,2020-03-05
hCoV-19/Iran/KHGRC-1.1-IPI-8206/2020|EPI_ISL_442523|2020-03-09|1,hCoV-19/Iran/KHGRC-1.1-IPI-8206/2020|EPI_ISL_442523|2020-03-09|1,2020-03-09
hCoV-19/Australia/NSW33/2020|EPI_ISL_427654|2020-03-06|1,hCoV-19/Australia/NSW33/2020|EPI_ISL_427654|2020-03-06|1,2020-03-06
hCoV-19/Australia/NSW34/2020|EPI_ISL_427655|2020-03-11|1,hCoV-19/Australia/NSW34/2020|EPI_ISL_427655|2020-03-11|1,2020-03-11
hCoV-19/Australia/NSW07/2020|EPI_ISL_413214|2020-02-29|4,hCoV-19/Australia/NSW07/2020|EPI_ISL_413214|2020-02-29|4,2020-02-29
hCoV-19/Australia/WA106/2020|EPI_ISL_512759|2020-03-17|1,hCoV-19/Australia/WA106/2020|EPI_ISL_512759|2020-03-17|1,2020-03-17
hCoV-19/Australia/VIC812/2020|EPI_ISL_427085|2020-04-02|1,hCoV-19/Australia/VIC812/2020|EPI_ISL_427085|2020-04-02|1,2020-04-02
hCoV-19/Australia/NSW312/2020|EPI_ISL_451576|2020-03-27|1,hCoV-19/Australia/NSW312/2020|EPI_ISL_451576|2020-03-27|1,2020-03-27
hCoV-19/Australia/NSW229/2020|EPI_ISL_451495|2020-03-28|2,hCoV-19/Australia/NSW229/2020|EPI_ISL_451495|2020-03-28|2,2020-03-28
hCoV-19/Australia/NSW510/2020|EPI_ISL_455050|2020-03-26|1,hCoV-19/Australia/NSW510/2020|EPI_ISL_455050|2020-03-26|1,2020-03-26
hCoV-19/Australia/NSW254/2020|EPI_ISL_451519|2020-03-12|1,hCoV-19/Australia/NSW254/2020|EPI_ISL_451519|2020-03-12|1,2020-03-12
hCoV-19/Australia/NSW2110/2020|EPI_ISL_678299|2020-03-22|1,hCoV-19/Australia/NSW2110/2020|EPI_ISL_678299|2020-03-22|1,2020-03-22
hCoV-19/Australia/NSW2139/2020|EPI_ISL_500627|2020-03-10|1,hCoV-19/Australia/NSW2139/2020|EPI_ISL_500627|2020-03-10|1,2020-03-10
hCoV-19/Australia/NSW2155/2020|EPI_ISL_500633|2020-03-09|1,hCoV-19/Australia/NSW2155/2020|EPI_ISL_500633|2020-03-09|1,2020-03-09
hCoV-19/Australia/NSW35/2020|EPI_ISL_417393|2020-03-08|1,hCoV-19/Australia/NSW35/2020|EPI_ISL_417393|2020-03-08|1,2020-03-08
hCoV-19/Australia/NSW375/2020|EPI_ISL_451635|2020-03-08|1,hCoV-19/Australia/NSW375/2020|EPI_ISL_451635|2020-03-08|1,2020-03-08
hCoV-19/Australia/NSW15/2020|EPI_ISL_417383|2020-03-03|12,hCoV-19/Australia/NSW15/2020|EPI_ISL_417383|2020-03-03|12,2020-03-03
hCoV-19/Australia/NSW2099/2020|EPI_ISL_678297|2020-03-21|3,hCoV-19/Australia/NSW2099/2020|EPI_ISL_678297|2020-03-21|3,2020-03-21
hCoV-19/Australia/NSW28/2020|EPI_ISL_417391|2020-03-08|1,hCoV-19/Australia/NSW28/2020|EPI_ISL_417391|2020-03-08|1,2020-03-08
hCoV-19/Australia/NSW26/2020|EPI_ISL_417389|2020-03-09|1,hCoV-19/Australia/NSW26/2020|EPI_ISL_417389|2020-03-09|1,2020-03-09
hCoV-19/Australia/NSW40/2020|EPI_ISL_417398|2020-03-11|1,hCoV-19/Australia/NSW40/2020|EPI_ISL_417398|2020-03-11|1,2020-03-11
hCoV-19/Australia/NSW2380/2020|EPI_ISL_678307|2020-03-23|1,hCoV-19/Australia/NSW2380/2020|EPI_ISL_678307|2020-03-23|1,2020-03-23
hCoV-19/Australia/NSW313/2020|EPI_ISL_699646|2020-03-05|1,hCoV-19/Australia/NSW313/2020|EPI_ISL_699646|2020-03-05|1,2020-03-05
hCoV-19/Russia/SPE-RII-17684V/2020|EPI_ISL_524015|2020-05-27|1,hCoV-19/Russia/SPE-RII-17684V/2020|EPI_ISL_524015|2020-05-27|1,2020-05-27
hCoV-19/Australia/VIC2125/2020|EPI_ISL_480734|2020-06-19|2,hCoV-19/Australia/VIC2125/2020|EPI_ISL_480734|2020-06-19|2,2020-06-19
hCoV-19/Denmark/DCGC-1747/2020|EPI_ISL_620132|2020-03-09|1,hCoV-19/Denmark/DCGC-1747/2020|EPI_ISL_620132|2020-03-09|1,2020-03-09
hCoV-19/England/ALDP-9ECFB9/2020|EPI_ISL_589287|2020-05-05|1,hCoV-19/England/ALDP-9ECFB9/2020|EPI_ISL_589287|2020-05-05|1,2020-05-05
hCoV-19/Germany/NW-HHU-46/2020|EPI_ISL_425130|2020-03-21|1,hCoV-19/Germany/NW-HHU-46/2020|EPI_ISL_425130|2020-03-21|1,2020-03-21
hCoV-19/Iran/7650/2020|EPI_ISL_594188|2020-06-26|1,hCoV-19/Iran/7650/2020|EPI_ISL_594188|2020-06-26|1,2020-06-26
hCoV-19/Iran/KHGRC-2-2162/2020|EPI_ISL_442044|2020-03-26|1,hCoV-19/Iran/KHGRC-2-2162/2020|EPI_ISL_442044|2020-03-26|1,2020-03-26
hCoV-19/England/201080080/2020|EPI_ISL_464463|2020-03-03|1,hCoV-19/England/201080080/2020|EPI_ISL_464463|2020-03-03|1,2020-03-03
hCoV-19/England/201080081/2020|EPI_ISL_464464|2020-03-06|1,hCoV-19/England/201080081/2020|EPI_ISL_464464|2020-03-06|1,2020-03-06
hCoV-19/England/202881382/2020|EPI_ISL_491716|2020-06-22|1,hCoV-19/England/202881382/2020|EPI_ISL_491716|2020-06-22|1,2020-06-22
hCoV-19/England/MILK-800527/2020|EPI_ISL_557185|2020-07-16|1,hCoV-19/England/MILK-800527/2020|EPI_ISL_557185|2020-07-16|1,2020-07-16
hCoV-19/UnitedArabEmirates/L4682/2020|EPI_ISL_435135|2020-02-25|1,hCoV-19/UnitedArabEmirates/L4682/2020|EPI_ISL_435135|2020-02-25|1,2020-02-25
hCoV-19/Bahrein/BAH-15/2020|EPI_ISL_483556|2020-04-04|1,hCoV-19/Bahrein/BAH-15/2020|EPI_ISL_483556|2020-04-04|1,2020-04-04
hCoV-19/Bahrein/BAH-25/2020|EPI_ISL_483639|2020-04-08|1,hCoV-19/Bahrein/BAH-25/2020|EPI_ISL_483639|2020-04-08|1,2020-04-08
hCoV-19/Bahrein/BAH-08/2020|EPI_ISL_483549|2020-03-18|1,hCoV-19/Bahrein/BAH-08/2020|EPI_ISL_483549|2020-03-18|1,2020-03-18
hCoV-19/Bahrein/BAH-11/2020|EPI_ISL_483552|2020-03-30|1,hCoV-19/Bahrein/BAH-11/2020|EPI_ISL_483552|2020-03-30|1,2020-03-30
hCoV-19/Bahrein/BAH-05/2020|EPI_ISL_483546|2020-03-15|1,hCoV-19/Bahrein/BAH-05/2020|EPI_ISL_483546|2020-03-15|1,2020-03-15
hCoV-19/Bahrein/BAH-13/2020|EPI_ISL_483554|2020-03-30|1,hCoV-19/Bahrein/BAH-13/2020|EPI_ISL_483554|2020-03-30|1,2020-03-30
hCoV-19/Bahrein/BAH-21/2020|EPI_ISL_483562|2020-04-05|1,hCoV-19/Bahrein/BAH-21/2020|EPI_ISL_483562|2020-04-05|1,2020-04-05
hCoV-19/Bahrein/BAH-14/2020|EPI_ISL_483555|2020-04-08|1,hCoV-19/Bahrein/BAH-14/2020|EPI_ISL_483555|2020-04-08|1,2020-04-08
hCoV-19/Bahrein/BAH-27/2020|EPI_ISL_483565|2020-04-07|1,hCoV-19/Bahrein/BAH-27/2020|EPI_ISL_483565|2020-04-07|1,2020-04-07
hCoV-19/Bahrein/BAH-18/2020|EPI_ISL_483559|2020-04-08|1,hCoV-19/Bahrein/BAH-18/2020|EPI_ISL_483559|2020-04-08|1,2020-04-08
hCoV-19/Bahrein/BAH-16/2020|EPI_ISL_483557|2020-04-08|1,hCoV-19/Bahrein/BAH-16/2020|EPI_ISL_483557|2020-04-08|1,2020-04-08
hCoV-19/Bahrein/BAH-17/2020|EPI_ISL_483558|2020-04-08|1,hCoV-19/Bahrein/BAH-17/2020|EPI_ISL_483558|2020-04-08|1,2020-04-08
hCoV-19/Shanghai/SH0080/2020|EPI_ISL_416382|2020-02-08|1,hCoV-19/Shanghai/SH0080/2020|EPI_ISL_416382|2020-02-08|1,2020-02-08
hCoV-19/Shanghai/SH0125/2020|EPI_ISL_416406|2020-02-15|1,hCoV-19/Shanghai/SH0125/2020|EPI_ISL_416406|2020-02-15|1,2020-02-15
hCoV-19/Shanghai/SH0126/2020|EPI_ISL_416407|2020-02-15|1,hCoV-19/Shanghai/SH0126/2020|EPI_ISL_416407|2020-02-15|1,2020-02-15
hCoV-19/Iran/GRC-10582/2020|EPI_ISL_596451|2020-06-16|1,hCoV-19/Iran/GRC-10582/2020|EPI_ISL_596451|2020-06-16|1,2020-06-16
hCoV-19/Iran/2297/2020|EPI_ISL_594185|2020-04-13|1,hCoV-19/Iran/2297/2020|EPI_ISL_594185|2020-04-13|1,2020-04-13
hCoV-19/Netherlands/ZuidHolland_16/2020|EPI_ISL_414558|2020-03-06|1,hCoV-19/Netherlands/ZuidHolland_16/2020|EPI_ISL_414558|2020-03-06|1,2020-03-06
hCoV-19/Netherlands/ZE-EMC-48/2020|EPI_ISL_523547|2020-05-07|1,hCoV-19/Netherlands/ZE-EMC-48/2020|EPI_ISL_523547|2020-05-07|1,2020-05-07
hCoV-19/UnitedArabEmirates/L0904/2020|EPI_ISL_435126|2020-02-25|1,hCoV-19/UnitedArabEmirates/L0904/2020|EPI_ISL_435126|2020-02-25|1,2020-02-25
hCoV-19/Iran/2024/2020|EPI_ISL_594187|2020-04-11|1,hCoV-19/Iran/2024/2020|EPI_ISL_594187|2020-04-11|1,2020-04-11
hCoV-19/Thailand/Bangkok-CONI-0110/2020|EPI_ISL_455913|2020-03-12|1,hCoV-19/Thailand/Bangkok-CONI-0110/2020|EPI_ISL_455913|2020-03-12|1,2020-03-12
hCoV-19/England/201040375/2020|EPI_ISL_464339|2020-03-04|1,hCoV-19/England/201040375/2020|EPI_ISL_464339|2020-03-04|1,2020-03-04
hCoV-19/England/20108125404/2020|EPI_ISL_464480|2020-03-05|1,hCoV-19/England/20108125404/2020|EPI_ISL_464480|2020-03-05|1,2020-03-05
hCoV-19/England/201081250/2020|EPI_ISL_464479|2020-03-05|1,hCoV-19/England/201081250/2020|EPI_ISL_464479|2020-03-05|1,2020-03-05
hCoV-19/England/20104035803/2020|EPI_ISL_417238|2020-03-03|1,hCoV-19/England/20104035803/2020|EPI_ISL_417238|2020-03-03|1,2020-03-03
hCoV-19/Canada/BC_4143842/2020|EPI_ISL_418827|2020-03-04|2,hCoV-19/Canada/BC_4143842/2020|EPI_ISL_418827|2020-03-04|2,2020-03-04
hCoV-19/Shanghai/SH0070/2020|EPI_ISL_416373|2020-02-07|1,hCoV-19/Shanghai/SH0070/2020|EPI_ISL_416373|2020-02-07|1,2020-02-07
hCoV-19/USA/CA-UCLA-81/2020|EPI_ISL_537602|2020-03-12|1,hCoV-19/USA/CA-UCLA-81/2020|EPI_ISL_537602|2020-03-12|1,2020-03-12
hCoV-19/Australia/NSW1123/2020|EPI_ISL_593737|2020-09-13|1,hCoV-19/Australia/NSW1123/2020|EPI_ISL_593737|2020-09-13|1,2020-09-13
hCoV-19/Canada/MB-NML-1150/2020|EPI_ISL_582477|2020-07-19|1,hCoV-19/Canada/MB-NML-1150/2020|EPI_ISL_582477|2020-07-19|1,2020-07-19
hCoV-19/Denmark/DCGC-2068/2020|EPI_ISL_618322|2020-07-13|1,hCoV-19/Denmark/DCGC-2068/2020|EPI_ISL_618322|2020-07-13|1,2020-07-13
hCoV-19/England/QEUH-96D0EA/2020|EPI_ISL_530758|2020-08-19|1,hCoV-19/England/QEUH-96D0EA/2020|EPI_ISL_530758|2020-08-19|1,2020-08-19
hCoV-19/England/QEUH-9994AD/2020|EPI_ISL_559763|2020-08-24|1,hCoV-19/England/QEUH-9994AD/2020|EPI_ISL_559763|2020-08-24|1,2020-08-24
hCoV-19/England/LOND-1250707/2020|EPI_ISL_665228|2020-10-25|1,hCoV-19/England/LOND-1250707/2020|EPI_ISL_665228|2020-10-25|1,2020-10-25
hCoV-19/England/LOND-1250822/2020|EPI_ISL_664839|2020-10-27|1,hCoV-19/England/LOND-1250822/2020|EPI_ISL_664839|2020-10-27|1,2020-10-27
hCoV-19/England/LOND-1250AC2/2020|EPI_ISL_665244|2020-11-02|1,hCoV-19/England/LOND-1250AC2/2020|EPI_ISL_665244|2020-11-02|1,2020-11-02
hCoV-19/UnitedArabEmirates/0788/2020|EPI_ISL_698183|2020-05-19|1,hCoV-19/UnitedArabEmirates/0788/2020|EPI_ISL_698183|2020-05-19|1,2020-05-19
hCoV-19/UnitedArabEmirates/DU-A-S3-3_S9/2020|EPI_ISL_548968|2020-04-23|1,hCoV-19/UnitedArabEmirates/DU-A-S3-3_S9/2020|EPI_ISL_548968|2020-04-23|1,2020-04-23
hCoV-19/UnitedArabEmirates/0729/2020|EPI_ISL_698880|2020-05-16|2,hCoV-19/UnitedArabEmirates/0729/2020|EPI_ISL_698880|2020-05-16|2,2020-05-16
hCoV-19/UnitedArabEmirates/L1189/2020|EPI_ISL_469277|2020-05-04|1,hCoV-19/UnitedArabEmirates/L1189/2020|EPI_ISL_469277|2020-05-04|1,2020-05-04
hCoV-19/England/CAMB-7D0A4/2020|EPI_ISL_442812|2020-04-07|1,hCoV-19/England/CAMB-7D0A4/2020|EPI_ISL_442812|2020-04-07|1,2020-04-07
hCoV-19/Bahrain/140008296/2020|EPI_ISL_510528|2020-06-23|1,hCoV-19/Bahrain/140008296/2020|EPI_ISL_510528|2020-06-23|1,2020-06-23
hCoV-19/SriLanka/CDR503/2020|EPI_ISL_525479|2020-03-31|1,hCoV-19/SriLanka/CDR503/2020|EPI_ISL_525479|2020-03-31|1,2020-03-31
hCoV-19/USA/MN-MDH-1228/2020|EPI_ISL_482949|2020-05-18|1,hCoV-19/USA/MN-MDH-1228/2020|EPI_ISL_482949|2020-05-18|1,2020-05-18
hCoV-19/USA/MN-MDH-1385/2020|EPI_ISL_509686|2020-05-12|1,hCoV-19/USA/MN-MDH-1385/2020|EPI_ISL_509686|2020-05-12|1,2020-05-12
hCoV-19/India/KA-nimh-19184/2020|EPI_ISL_515966|2020-05-14|1,hCoV-19/India/KA-nimh-19184/2020|EPI_ISL_515966|2020-05-14|1,2020-05-14
hCoV-19/India/KA-nimh-11877/2020|EPI_ISL_486404|2020-05-06|1,hCoV-19/India/KA-nimh-11877/2020|EPI_ISL_486404|2020-05-06|1,2020-05-06
hCoV-19/India/KA-nimh-19188/2020|EPI_ISL_515967|2020-05-14|1,hCoV-19/India/KA-nimh-19188/2020|EPI_ISL_515967|2020-05-14|1,2020-05-14
hCoV-19/India/KA-nimh-10559/2020|EPI_ISL_486400|2020-05-03|1,hCoV-19/India/KA-nimh-10559/2020|EPI_ISL_486400|2020-05-03|1,2020-05-03
hCoV-19/India/KA-nimh-17585/2020|EPI_ISL_515963|2020-05-12|2,hCoV-19/India/KA-nimh-17585/2020|EPI_ISL_515963|2020-05-12|2,2020-05-12
hCoV-19/India/KA-nimh-11866/2020|EPI_ISL_515950|2020-05-06|1,hCoV-19/India/KA-nimh-11866/2020|EPI_ISL_515950|2020-05-06|1,2020-05-06
hCoV-19/India/KA-nimh-11867/2020|EPI_ISL_515951|2020-05-06|1,hCoV-19/India/KA-nimh-11867/2020|EPI_ISL_515951|2020-05-06|1,2020-05-06
hCoV-19/India/KA-nimh-11872/2020|EPI_ISL_515952|2020-05-06|1,hCoV-19/India/KA-nimh-11872/2020|EPI_ISL_515952|2020-05-06|1,2020-05-06
hCoV-19/UnitedArabEmirates/0309/2020|EPI_ISL_698177|2020-05-18|1,hCoV-19/UnitedArabEmirates/0309/2020|EPI_ISL_698177|2020-05-18|1,2020-05-18
hCoV-19/Australia/VIC626/2020|EPI_ISL_426930|2020-03-28|1,hCoV-19/Australia/VIC626/2020|EPI_ISL_426930|2020-03-28|1,2020-03-28
hCoV-19/UnitedArabEmirates/0565/2020|EPI_ISL_698179|2020-05-15|2,hCoV-19/UnitedArabEmirates/0565/2020|EPI_ISL_698179|2020-05-15|2,2020-05-15
hCoV-19/UnitedArabEmirates/L0231/2020|EPI_ISL_435122|2020-03-14|2,hCoV-19/UnitedArabEmirates/L0231/2020|EPI_ISL_435122|2020-03-14|2,2020-03-14
